PGPR,Dpi,Rep,Gene,Cq
B. subtilis,10,3,PDF1.2,24.42
Control,10,1,PDF1.2,22.79
Control,10,2,PDF1.2,22.83
Control,10,3,PDF1.2,23.07
P. fluorescens,1,1,RdR1,23.52
P. fluorescens,1,2,RdR1,23.63
P. fluorescens,1,3,RdR1,23.74
S. marcescens,1,1,RdR1,23.63
S. marcescens,1,2,RdR1,23.53
S. marcescens,1,3,RdR1,23.71
B. subtilis,1,1,RdR1,23.28
B. subtilis,1,2,RdR1,23.26
B. subtilis,1,3,RdR1,23.12
Control,1,1,RdR1,22.92
Control,1,2,RdR1,22.98
Control,1,3,RdR1,23.01
P. fluorescens,4,1,RdR1,23.68
P. fluorescens,4,2,RdR1,23.59
P. fluorescens,4,3,RdR1,23.55
S. marcescens,4,1,RdR1,23.42
S. marcescens,4,2,RdR1,23.40
S. marcescens,4,3,RdR1,23.43
B. subtilis,4,1,RdR1,23.75
B. subtilis,4,2,RdR1,23.72
B. subtilis,4,3,RdR1,23.65
Control,4,1,RdR1,23.31
Control,4,2,RdR1,23.26
Control,4,3,RdR1,23.22
P. fluorescens,7,1,RdR1,23.68
P. fluorescens,7,2,RdR1,23.71
P. fluorescens,7,3,RdR1,23.58
S. marcescens,7,1,RdR1,23.16
S. marcescens,7,2,RdR1,23.03
S. marcescens,7,3,RdR1,23.00
B. subtilis,7,1,RdR1,23.70
B. subtilis,7,2,RdR1,23.70
B. subtilis,7,3,RdR1,23.70
Control,7,1,RdR1,23.33
Control,7,2,RdR1,23.29
Control,7,3,RdR1,23.32
P. fluorescens,10,1,RdR1,23.88
P. fluorescens,10,2,RdR1,23.66
P. fluorescens,10,3,RdR1,23.61
S. marcescens,10,1,RdR1,23.25
S. marcescens,10,2,RdR1,23.35
S. marcescens,10,3,RdR1,23.24
B. subtilis,10,1,RdR1,23.24
B. subtilis,10,2,RdR1,23.33
B. subtilis,10,3,RdR1,23.39
Control,10,1,RdR1,23.27
Control,10,2,RdR1,23.26
Control,10,3,RdR1,23.07
P. fluorescens,1,1,UBQ,25.16
P. fluorescens,1,2,UBQ,24.70
P. fluorescens,1,3,UBQ,24.77
S. marcescens,1,1,UBQ,24.57
S. marcescens,1,2,UBQ,24.79
S. marcescens,1,3,UBQ,24.78
B. subtilis,1,1,UBQ,23.64
B. subtilis,1,2,UBQ,23.80
B. subtilis,1,3,UBQ,23.82
Control,1,1,UBQ,24.10
Control,1,2,UBQ,24.12
Control,1,3,UBQ,24.33
P. fluorescens,4,1,UBQ,24.19
P. fluorescens,4,2,UBQ,24.25
P. fluorescens,4,3,UBQ,24.15
S. marcescens,4,1,UBQ,24.25
S. marcescens,4,2,UBQ,24.13
S. marcescens,4,3,UBQ,24.47
B. subtilis,4,1,UBQ,24.20
B. subtilis,4,2,UBQ,24.23
B. subtilis,4,3,UBQ,24.27
Control,4,1,UBQ,23.85
Control,4,2,UBQ,24.02
Control,4,3,UBQ,23.95
P. fluorescens,7,1,UBQ,24.10
P. fluorescens,7,2,UBQ,24.05
P. fluorescens,7,3,UBQ,24.10
S. marcescens,7,1,UBQ,23.68
S. marcescens,7,2,UBQ,23.63
S. marcescens,7,3,UBQ,23.73
B. subtilis,7,1,UBQ,24.19
B. subtilis,7,2,UBQ,24.25
B. subtilis,7,3,UBQ,24.35
Control,7,1,UBQ,23.62
Control,7,2,UBQ,23.52
Control,7,3,UBQ,23.61
P. fluorescens,10,1,UBQ,24.51
P. fluorescens,10,2,UBQ,24.57
P. fluorescens,10,3,UBQ,24.73
S. marcescens,10,1,UBQ,23.53
S. marcescens,10,2,UBQ,23.60
S. marcescens,10,3,UBQ,23.64
B. subtilis,10,1,UBQ,24.15
B. subtilis,10,2,UBQ,24.08
B. subtilis,10,3,UBQ,24.21
Control,10,1,UBQ,24.25
Control,10,2,UBQ,24.06
Control,10,3,UBQ,24.66
P. fluorescens,1,1,Thi2.1,32.60
P. fluorescens,1,2,Thi2.1,32.15
