Treatment,Rep,Dpi,Cq
P. fluorescens,8,SL-14,13.59
P. fluorescens,9,SL-14,13.61
S. marcescens,7,SL-14,13.67
S. marcescens,8,SL-14,13.08
S. marcescens,9,SL-14,13.06
B. subtilis,7,SL-14,11.86
B. subtilis,8,SL-14,12.41
B. subtilis,9,SL-14,12.13
Control,7,SL-14,10.78
Control,8,SL-14,10.88
Control,9,SL-14,10.83
