PGPR,Dpi,Rep,Gene,Cq
P. fluorescens,1,1,Thi2.1,35.23
P. fluorescens,1,2,Thi2.1,35.09
P. fluorescens,1,3,Thi2.1,35.81
S. marcescens,1,1,Thi2.1,35.12
S. marcescens,1,2,Thi2.1,34.11
S. marcescens,1,3,Thi2.1,34.87
B. subtilis,1,1,Thi2.1,35.28
B. subtilis,1,2,Thi2.1,35.1
B. subtilis,1,3,Thi2.1,35.21
Control,1,1,Thi2.1,33.04
Control,1,2,Thi2.1,33.27
Control,1,3,Thi2.1,33.12
P. fluorescens,4,1,Thi2.1,33.15
P. fluorescens,4,2,Thi2.1,32.66
P. fluorescens,4,3,Thi2.1,32.39
S. marcescens,4,1,Thi2.1,36.32
S. marcescens,4,2,Thi2.1,35.32
S. marcescens,4,3,Thi2.1,35.54
B. subtilis,4,1,Thi2.1,34.04
B. subtilis,4,2,Thi2.1,35.52
B. subtilis,4,3,Thi2.1,34.11
Control,4,1,Thi2.1,32.53
Control,4,2,Thi2.1,33.02
Control,4,3,Thi2.1,32.99
P. fluorescens,7,1,Thi2.1,22.67
P. fluorescens,7,2,Thi2.1,22.21
P. fluorescens,7,3,Thi2.1,22.28
S. marcescens,7,1,Thi2.1,36.67
S. marcescens,7,2,Thi2.1,
S. marcescens,7,3,Thi2.1,36.89
B. subtilis,7,1,Thi2.1,32.69
B. subtilis,7,2,Thi2.1,32.94
B. subtilis,7,3,Thi2.1,32.5
Control,7,1,Thi2.1,34.91
Control,7,2,Thi2.1,38.26
Control,7,3,Thi2.1,34.43
P. fluorescens,10,1,Thi2.1,34.73
P. fluorescens,10,2,Thi2.1,34.04
P. fluorescens,10,3,Thi2.1,34.48
S. marcescens,10,1,Thi2.1,35.18
S. marcescens,10,2,Thi2.1,33
S. marcescens,10,3,Thi2.1,34.25
B. subtilis,10,1,Thi2.1,35.21
B. subtilis,10,2,Thi2.1,33.76
B. subtilis,10,3,Thi2.1,36.52
Control,10,1,Thi2.1,34.6
Control,10,2,Thi2.1,35.55
Control,10,3,Thi2.1,34.75
